movies_name	Descriptions
100) Reservoir Dogs	Making his uber cool and supremely confident directorial debut, Quentin Tarantino hit audiences with a terrific twist on the heist-gone-wrong thriller. For the most part a single location chamber piece, Reservoir Dogs delights in ricocheting the zing and fizz of its dialogue around its gloriously —and indeed gore-iously) — intense setting, with the majority of the movie's action centring around one long and incredibly bloody death scene. Packing killer lines, killer needledrops, and killer, er, killers too, not only is this a rollicking ride in its own right, but it also set the blueprint for everything we've come to expect from a Tarantino joint. Oh, and by the way: Nice Guy Eddie was shot by Mr. White. Who fired twice. Case closed.
99) Groundhog Day	Bill Murray is at the height of his (eventually) lovable schmuck powers as narcissistic weatherman Phil Connors. Andie McDowell brings the brains and the heart as distant-but-ever-closer-coming producer Rita Hanson. And Harold Ramis, directing and co-writing with Danny Rubin, manages to spin gold from the well-worn thread of a man stuck in time. Whilst this time-loop dramedy might not have been the first film to drink from this particular trope's well, it is inarguably head and shoulders above the rest. Murray's customarily snarky delivery gets the easy laughs flowing early doors, but it's the way the movie finds deeper things to say about existence and morals as it goes on, all whilst never feeling overly preachy or worthy, that keeps us coming back to it again, and again, and again.
98) Paddington 2	When the first Paddington was on the way, early trailers didn't look entirely promising. Yet co-writer/director Paul King delivered a truly wonderful film bursting with joy, imagination, kindness, and just the odd hard stare from our beloved Peruvian bear. How was he going to follow that? By making one of the greatest sequels — nay, one of the best movies period — of all time, naturally. Matching wits with Hugh Grant's moustache-twirlingly evil and deliciously outré washed-up actor Phoenix Buchanan, Paddington (Ben Whishaw) is on typically adorable form here as his search for a special present for his Great Aunt Lucy leads to all sorts of hilarious hijinks . Like all great sequels, this one takes everything that made the first so good and builds on it, dialing up the spectacle, the silliness, and the emotional stakes. The result is as sweet as marmalade.
97) Amelie	Jean-Pierre Jeunet's fourth feature – his second as a solo artist divorced from Marc Caro – saw the Delicatessen, The City of Lost Children and Alien: Resurrection filmmaker leave behind the overwhelming darkness of his earlier works and step out into the glorious sunshine of Amelie's whimsical fantasy Paris. Sure, a cynic could read the film as the story of Audrey Tatou's monomaniacal title character's relentless, somewhat stalkerish pursuit of the hapless Nino (Matthieu Kassovitz) around Montmartre's dream-like cityscape. But this one isn't for the cynics — it's a tribute to the daydreamers of this world. It's a sweet, nostalgic, sentimental, beautifully sunny, and unforcedly quirky romantic comedy played out amidst a veritable visual fantasia that only Jeunet could have conceived. Amelie will always be on our list of things we like.
96) Brokeback Mountain	Ang Lee's adaptation of Annie Proulx's short story (scribed by Larry McMurtry and Diana Ossana) retains its source's sensitivity and grace whilst expanding its scope gorgeously, 10,000 words of prose turned into a sweeping cinematic romance for the ages before our very eyes. Played out against the beautiful mountain landscapes of Wyoming (or, in reality, the Canadian Rockies), the decades-spanning love story between shepherds Ennis Del Mar (Ledger) and Jack Twist (Gyllenhaal) — two men who unexpectedly find love on the titular mountainside, only to find it tested over the years as societal mores and heteronormative expectations work against them — is sensually observed and immaculately shot. Not only does it give you hope and breaks your heart in equal measure, but the multiple Oscar-winning movie's impact on queer cinema continues to be felt today. Even now, almost two decades later, we still don't know how to quit it (and honestly, we don't want to).
95) Donnie Darko	A high school drama with a time traveling, tangential universe threading, sinister rabbit featuring twist, Richard Kelly's deliberately labyrinthine opus was always destined for cult classic status. A certifiable flop upon its theatrical release, Kelly's film was one of the early beneficiaries of physical media's move to DVD, with the movie gaining a fandom in film obsessives who could pause, play, and skip back and forth through it at will. Any attempt to synopsise the movie is a fool's errand, but there's more than a hint of It's A Wonderful Life in the way we see Donnie (Jake Gyllenhaal, in a star-making turn) experiencing how the world would be worse off if he survives the jet engine that mysteriously crashes through his bedroom. That the film, with all its heavy themes and brooding atmosphere, manages to eventually land on a note of overwhelming optimism is a testament to Kelly's mercurial moviemaking. A mad world (mad world) Donnie Darko's may be, but it's also one that continues to beguile and fascinate as new fans find themselves obsessed with uncovering its mysteries.
94) Scott Pilgrim Vs. The World	With Scott Pilgrim Vs. The World, Edgar Wright leaned all the way in to the things that make his directorial style so singular — excellent needle drops, a poppy visual palette, whip-pans and whip-smart wit — in order to do Bryan Lee O'Malley's beloved graphic novels justice. Michael Cera is on peak socially awkward Cera form here as the eponymous put-upon protagonist who's forced to face his new girlfriend's (Mary Elizabeth Winstead) seven evil exes in a series of increasingly wild face-offs. But it's the film's extraordinarily stacked ensemble (Chris Evans! Brie Larson! Anna Kendrick! Aubrey Plaza!), impressive mixed-media aesthetics, and endless pool of iconic quotes and playlist essential tunes that cement it as one of Wright's most memorable. This is good garlic bread.
93) Portrait Of A Lady On Fire	"Celine Sciamma's magnetic, masterful lesbian romance may be a recent addition to this list, but became an instant landmark of queer cinema upon its release. Starring Noumie Merlant as an 18th century painter and Aduele Haenel as her elusive subject, Portrait Of A Lady On Fire is a tale of an epic love developed in the quietest, most delicate way, formed in stolen moments and glances. Sciamma's carefully constructed, smouldering screenplay and our leads' electric chemistry are matched only by Claire Mathon's transcendent cinematography, with each impeccably framed, Renaissance inspired 8K shot bringing new meaning to the expression ""every frame a painting"". Pure poetry."
92) Léon	In some ways, Luc Besson's first English-language movie is a spiritual spin-off: after all, isn't Jean Reno's eponymous hitman just Nikita's Victor The Cleaner renamed and fleshed out? In all seriousness though, Besson's film — which sees Reno's titular contract killer caught up in an unlikely coming-of-age tale after his next-door neighbours wind up on the wrong side of a DEA sting — is very much its own beast. Inarguably, its greatest strength however isn't Reno, or even Gary Oldman's unhinged baddie Stansfield, but a very young Natalie Portman, who delivers a luminous, career-creating performance as vengeful 12-year-old Mathilda. Despite some of the ickiness inherent in the relationship the film presents between a middle-aged man and a pre-teen girl, Portman's phenomenal performance helps augment an unlikely kinship that winds up being deeply affecting to watch.
91) Logan	If you're going to wrap up your tenure as one of the most loved superhero icons in fiction, it's hard to think of a better way than how Hugh Jackman — under the direction of a never-better James Mangold — punched out on the time clock of playing Wolverine. Set in a dark near-future world where an ageing Logan is caring for a mentally unstable Professor Xavier (Patrick Stewart) and getting mixed up yet again with some very dangerous people, Logan takes cues from Western greats such as Shane as Wolvie wrestles with his mortality and history of violence. A truly original superhero tale that is mournful without being morbid, Mangold's mutant masterwork is the perfect end to Logan's story (even if Jackman is set to flex his adamantium stuff once again in Deadpool & Wolverine).
90) The Terminator	"After his directorial debut Piranha II: Flying Killers fell on its face, James Cameron could've been forgiven for calling it quits on a filmmaking career in Hollywood. Instead, he made The Terminator — and the rest, as they say, is history. Shot on a $6 million budget, Cameron's sophomore feature may crib a little from Michael Crichton's Westworld and Harlan Ellison's Outer Limits episode 'Soldier', but its action — which revolves around Arnold Schwarzenegger's instantly iconic shot-gun toting, shades rocking, time travelling cyborg killer — is, outside of Cameron's own oeuvre since, without comparison. Made with all the relentless tension of a slasher (after all, what is Arnie's Terminator if not Michael Myers in leathers?) and the kinetic thrills of a balls-to-the-wall blockbuster, nothing has been the same since the T-800 told Linda Hamilton's Sarah Connor ""Come with me if you want to live."""
89) No Country For Old Men	The Coen brothers' Cormac McCarthy adaptation is a tension-ratcheting, 1980 Texas-set chase movie, which also thoughtfully considers the question: how can good people ever possibly deal with a world going to shit? It also revealed that Javier Bardem makes an awesome villain; ever since he played No Country's cold-blooded assassin Anton Chigurh, Hollywood can't stop making him the bad guy.
88) Titanic	James Cameron doesn't do things by halves. His movie about the 1912 sinking of the world's biggest cruise liner was the most expensive ever made, suffered a difficult, overrunning shoot, and was predicted to be a career-ending flop. But it turned out to be one of the most successful films of all time (in terms of both box office and Awards), and made him King Of The World.
87) The Exorcist	William Friedkin's horror masterwork, in which a 12-year-old girl is possessed by a demon, has a reputation as a shocker (in the good sense), with the pea-soup vomit, head-spin and crucifix abuse moments the most regularly cited. But the reason it chills so deeply is the way it sustains and builds its disquieting atmosphere so craftily and consistently throughout.
86) Black Panther	After his standout introduction in Captain America: Civil War, 2018's Black Panther allowed us to properly meet Chadwick Boseman's T'Challa, and see his Wakandan kingdom in all its glory. Impeccably directed by Creed's Ryan Coogler, it's an Afrofuturistic vision oozing with cool, colourful regality, expressed through its Oscar-winning costume design, stunning set pieces and thrumming soundtrack. Soaring to billion dollar-plus box office takings, Black Panther's cultural impact cannot be understated – and after the tragic loss of Boseman in 2020, the film lives on as the defining role for a truly remarkable talent.
85) Shaun Of The Dead	Before its release, you might have been forgiven for thinking it would be Spaced: The Movie. But Edgar Wright, Simon Pegg and Nick Frost's first feature is genuinely stand-alone: a savvy blend of proper-funny comedy and seriously gruesome undead-horror which, funnily enough, played a big part in the zombie-movie resurgence we're still enjoying now.
